rowkey,score
24,0.0676071122289
48,0.0186791885644
54,0.0311335064471
194,0.0349507965147
250,0.116092346609
311,0.0307580325752
348,0.190323442221
350,0.0157453995198
354,0.00839587394148
383,0.00904784351587
403,0.0112707745284
432,0.0418917424977
438,0.00464543187991
442,0.0193239655346
518,0.0257265400141
523,0.020281445235
541,0.00367965572514
561,0.00712799979374
690,0.0995917767286
697,0.017784319818
723,0.00294186430983
740,0.0825036913157
746,0.0146785164252
774,0.0192581638694
788,0.0057977559045
799,0.164740353823
819,0.584574341774
889,0.0116522917524
907,0.0202134046704
1017,0.01359316241
1041,0.0297569129616
1046,0.0114070409909
1054,0.0235812105238
1064,0.0231901295483
1067,0.0233395881951
1121,0.0052936328575
1124,0.00343875726685
1179,0.00887226033956
1276,0.0124760624021
1286,0.00931183807552
1303,0.00352355069481
1311,0.0129231000319
1323,0.00772181758657
1328,0.00332229980268
1349,0.0079972948879
1367,0.0118854735047
1383,0.014985833317
1395,0.0127100050449
1431,0.00710498774424
1465,0.0159949269146
1473,0.0199396423995
1502,0.0386175960302
1505,0.0285833291709
1561,0.011361612007
1606,0.00671081058681
1636,0.00453087221831
1640,0.00342755275778
1705,0.163881197572
1731,0.511561453342
1738,0.522418022156
1742,0.0134864011779
1747,0.00657871505246
1748,0.459036231041
1811,0.0201014429331
1817,0.0104656824842
1858,0.0207286141813
1910,0.0287455562502
1914,0.0158495027572
1923,0.0272359941155
1929,0.0354564040899
1932,0.0217095986009
1940,0.249139398336
1946,0.504392802715
1959,0.0117066837847
1972,0.00709930807352
1990,0.00431991089135
2041,0.0261145438999
2061,0.0202555600554
2089,0.0106057599187
2109,0.0096565131098
2153,0.0132413133979
2163,0.0175323188305
2195,0.028047574684
2238,0.00387677014805
2244,0.00852332636714
2260,0.03416306898
2268,0.0039524063468
2269,0.175330296159
2290,0.0173260867596
2293,0.0111653255299
2294,0.0169546455145
2314,0.0122199030593
2367,0.0265075284988
2378,0.0118255848065
2385,0.00507886102423
2446,0.0374782830477
2473,0.0163523573428
2479,0.0151707632467
2486,0.0202476102859
2499,0.00938174407929
2502,0.0289906617254
2520,0.0226458590478
2557,0.0155530050397
2558,0.013496930711
2564,0.0122094266117
2578,0.00378587143496
2598,0.0196973960847
2611,0.0162262618542
2616,0.106146872044
2617,0.0159345567226
2676,0.0293104406446
2682,0.0403797291219
2683,0.0340148918331
2700,0.00716488808393
2715,0.0284924637526
2721,0.00697341421619
2725,0.0295131858438
2741,0.020863763988
2747,0.0692070201039
2776,0.00900196097791
2786,0.0351798869669
2787,0.0583411119878
2846,0.0271477568895
2864,0.0250495392829
2898,0.0565831623971
2916,0.0173356533051
2946,0.0116381812841
2947,0.0225975140929
2967,0.0361501350999
2980,0.0348038859665
2988,0.0104997865856
3045,0.0153494207188
3049,0.0451735444367
3078,0.0311903078109
3093,0.0200631339103
3095,0.170995622873
3128,0.0342116244137
3191,0.0161440856755
3220,0.0137363178656
3263,0.0367972478271
3266,0.0108303399757
3286,0.0358638390899
3289,0.00775143923238
3298,0.00716373836622
3343,0.046308554709
3354,0.0259995274246
3365,0.0252156481147
3382,0.0444831065834
3426,0.0363957174122
3435,0.0335317254066
3458,0.0545746199787
3469,0.283690363169
3470,0.0146292885765
3488,0.0206111427397
3496,0.0173360854387
3500,0.0506673790514
3534,0.0231233667582
3556,0.0165223330259
3619,0.01289054472
3628,0.0225382484496
3644,0.0216714777052
3657,0.0115105090663
3662,0.0501750148833
3668,0.0132900159806
3677,0.0486447177827
3683,0.0273524504155
3691,0.0473279841244
3729,0.0134709123522
3768,0.0357301495969
3796,0.017538446933
3824,0.0331604629755
3826,0.175513163209
3827,0.006746458821
3867,0.0198043882847
3882,0.01845144853
3883,0.0379640869796
3899,0.0369406491518
3903,0.00512441946194
3910,0.0322982557118
3912,0.00677437288687
3920,0.174075976014
3932,0.208361923695
3956,0.0320962928236
3965,0.018790923059
3984,0.0487957932055
3985,0.00637856684625
3996,0.0415806137025
4008,0.0115929022431
4071,0.0255120079964
4072,0.0298160091043
4087,0.0121011668816
4089,0.00787121988833
4090,0.0917140766978
4115,0.0159325972199
4138,0.0344510190189
4139,0.0272712856531
4156,0.182168990374
4167,0.0400673449039
4207,0.017631450668
4259,0.0440354384482
4297,0.0123216770589
4308,0.0242411196232
4315,0.0484531372786
4317,0.0165997389704
4346,0.0194641593844
4393,0.0183958075941
4441,0.0276210494339
4488,0.018762646243
4510,0.0364288948476
4520,0.0201856773347
4545,0.0383029021323
4549,0.0114014716819
4565,0.0158337727189
4573,0.0273624323308
4575,0.0059037967585
4606,0.0561745390296
4620,0.0221203062683
4646,0.0295023582876
